,number,value,datetime_start,datetime_complete,duration,params_Dropout,params_In_Channel,params_MODEL_NAME_CNN,params_MODEL_NAME_MLP,params_cleassifier,params_focal_gamma,params_learning_rate,params_loss,params_num_warmup_steps_divide,params_optimizer,state
0,0,0.24328722538649308,2024-01-13 06:36:58.364429,2024-01-13 06:43:44.697413,0 days 00:06:46.332984,0.1,5.0,roberta-base,,cnn,4.0,0.005385027270914137,focal,8,AdamW,COMPLETE
1,1,0.24328722538649308,2024-01-13 06:43:44.722188,2024-01-13 06:49:48.934391,0 days 00:06:04.212203,0.30000000000000004,1.0,bert-base-uncased,,cnn,5.0,0.007016316641908511,focal,8,AdamW,COMPLETE
2,2,0.7010765851582376,2024-01-13 06:49:48.956824,2024-01-13 07:07:37.834499,0 days 00:17:48.877675,0.4,,,roberta-base,mlp,5.0,0.007619350924224078,focal,7,SGD,COMPLETE
3,3,0.705272560020673,2024-01-13 07:07:37.856901,2024-01-13 07:27:07.120711,0 days 00:19:29.263810,0.2,1.0,vinai/bertweet-base,,cnn,,0.008708303352683812,cross_entropy,10,SGD,COMPLETE
4,4,0.24328722538649308,2024-01-13 07:27:07.148068,2024-01-13 07:33:04.243014,0 days 00:05:57.094946,0.5,5.0,roberta-base,,cnn,,0.008131719350802586,cross_entropy,15,RMSprop,COMPLETE
5,5,0.1644144144144144,2024-01-13 07:33:04.266085,2024-01-13 07:37:13.610886,0 days 00:04:09.344801,0.5,,,xlm-roberta-base,mlp,,0.0042073047665502844,cross_entropy,10,AdamW,PRUNED
6,6,0.24328722538649308,2024-01-13 07:37:13.832128,2024-01-13 07:43:12.064217,0 days 00:05:58.232089,0.1,,,vinai/bertweet-base,mlp,,0.006180890615310318,cross_entropy,10,Adam,COMPLETE
7,7,0.24328722538649308,2024-01-13 07:43:12.086342,2024-01-13 07:49:12.136298,0 days 00:06:00.049956,0.1,,,vinai/bertweet-base,mlp,,0.007565109408903855,cross_entropy,3,Adam,COMPLETE
8,8,0.24328722538649308,2024-01-13 07:49:12.158819,2024-01-13 07:55:42.876388,0 days 00:06:30.717569,0.5,3.0,vinai/bertweet-base,,cnn,,0.0025718374786164767,cross_entropy,5,Adam,COMPLETE
9,9,0.24328722538649308,2024-01-13 07:55:42.904289,2024-01-13 08:04:01.539788,0 days 00:08:18.635499,0.5,,,xlm-roberta-base,mlp,1.0,0.0005751649446649101,focal,6,AdamW,COMPLETE
10,10,0.5060264449786528,2024-01-13 08:04:01.567488,2024-01-13 08:11:44.658330,0 days 00:07:43.090842,0.2,1.0,xlm-roberta-base,,cnn,,0.009246655339274053,cross_entropy,14,SGD,PRUNED
11,11,0.662177981502,2024-01-13 08:11:44.871434,2024-01-13 08:23:11.893227,0 days 00:11:27.021793,0.30000000000000004,,,roberta-base,mlp,2.0,0.009693478535948936,focal,12,SGD,PRUNED
12,12,0.6537158426368953,2024-01-13 08:23:11.925739,2024-01-13 08:30:57.116402,0 days 00:07:45.190663,0.4,3.0,vinai/bertweet-base,,cnn,5.0,0.008427423499773108,focal,5,SGD,PRUNED
13,13,0.24451344309621925,2024-01-13 08:30:57.156107,2024-01-13 08:35:35.630821,0 days 00:04:38.474714,0.2,,,roberta-base,mlp,3.0,0.004460965494780099,focal,11,SGD,PRUNED
14,14,0.24328722538649308,2024-01-13 08:35:35.678595,2024-01-13 08:43:28.488215,0 days 00:07:52.809620,0.4,,,microsoft/deberta-base,mlp,,0.006646324914285284,cross_entropy,2,SGD,COMPLETE
15,15,0.24328722538649308,2024-01-13 08:43:28.511035,2024-01-13 08:49:19.805657,0 days 00:05:51.294622,0.2,2.0,vinai/bertweet-base,,cnn,4.0,0.008740546664932552,focal,7,RMSprop,COMPLETE
16,16,0.6397355507448719,2024-01-13 08:49:19.828753,2024-01-13 08:56:04.492558,0 days 00:06:44.663805,0.4,,,bert-base-uncased,mlp,3.0,0.009940932053428232,focal,12,SGD,PRUNED
17,17,0.17049935336635305,2024-01-13 08:56:04.516980,2024-01-13 08:58:49.329210,0 days 00:02:44.812230,0.30000000000000004,2.0,xlm-roberta-base,,cnn,,0.005847573979673091,cross_entropy,9,SGD,PRUNED
18,18,0.6834018108900635,2024-01-13 08:58:49.600333,2024-01-13 09:08:47.659668,0 days 00:09:58.059335,0.2,4.0,bert-base-uncased,,cnn,,0.007576498167858926,cross_entropy,13,SGD,PRUNED
19,19,0.24328722538649308,2024-01-13 09:08:47.682686,2024-01-13 09:14:03.151955,0 days 00:05:15.469269,0.4,,,roberta-base,mlp,5.0,0.003183084701661552,focal,4,RMSprop,COMPLETE
